text,label,cleaned_text
You are so stupid and worthless,1,stupid worthless
Go kill yourself you pathetic loser,1,go kill pathetic loser
"Nobody likes you, you should disappear",1,nobody like disappear
You're such a failure at everything,1,youre failure everything
I hope you get hit by a car,1,hope get hit car
You're too ugly to be seen in public,1,youre ugly seen public
Fuck you bitch,1,fuck bitch
Everyone hates you,1,everyone hate
You should just die,1,die
What a stupid idiot you are,1,stupid idiot
Go jump off a bridge,1,go jump bridge
You're worthless garbage,1,youre worthless garbage
Kill yourself,1,kill
You bitch,1,bitch
You are stupid,1,stupid
I love this beautiful day,0,love beautiful day
Great job on the project!,0,great job project!
Looking forward to our meeting tomorrow,0,looking forward meeting tomorrow
Thanks for your help with this,0,thanks help
Have a wonderful day!,0,wonderful day!
Congratulations on your achievement!,0,congratulation achievement!
I feel so stupid today,0,feel stupid today
This game is fucking awesome,0,game fucking awesome
I'm going to kill this workout,0,im going kill workout
This traffic is killing me,0,traffic killing
You're crazy good at this!,0,youre crazy good this!
I hate how good you are,0,hate good
Bro you're killing it today,0,bro youre killing today
That movie was stupid funny,0,movie stupid funny
My computer is so stupid,0,computer stupid
This is driving me crazy,0,driving crazy
Omg I'm dying of laughter,0,omg im dying laughter
You're a beast at this game,0,youre beast game
Hi,0,hi
Hello,0,hello
How are you,0,
hw r u,0,hw
Good morning,0,good morning
